cluster,n,N,cx,depth
0,12,78,5,11
1,12,68,4,6
2,12,37,5,4
3,12,63,13,23
4,12,44,7,9
5,12,31,14,11
6,12,29,7,5
7,12,29,8,9
8,12,30,21,16
9,12,27,20,20
10,12,26,22,20
11,12,26,17,16
12,12,25,6,12
13,12,23,13,19
14,12,18,16,19
15,12,11,8,8
16,12,14,5,10
17,12,14,11,8
18,12,9,8,10
19,12,7,9,14
20,12,6,13,15
21,12,6,5,7
22,12,3,3,8
23,12,2,0,2
24,12,3,3,5
25,12,1,0,1
