IIII,-1.5458724243288817
ZIII,0.7582840346680491
IZII,0.7582840346680491
ZZII,0.23577187542980704
YZYI,0.05258434874916604
YIYI,0.04324479694907271
XZXI,0.05258434874916604
XIXI,0.04324479694907271
IYZY,0.05258434874916603
ZYZY,0.04324479694907271
IXZX,0.05258434874916603
ZXZX,0.04324479694907271
YXXY,0.03633593176600333
YYXX,-0.03633593176600333
XXYY,-0.03633593176600333
XYYX,0.03633593176600333
IIZI,0.191995644071161
ZIZI,0.1286780507371525
IIIZ,0.191995644071161
ZIIZ,0.16501398250315585
YZYZ,-0.009339551914671998
XZXZ,-0.009339551914671998
IZZI,0.16501398250315585
IYIY,-0.009339551914671998
IXIX,-0.009339551914671998
IZIZ,0.1286780507371525
IIZZ,0.1881254411246361
