cluster,n,N,cx,depth
0,12,78,8,11
1,12,31,11,14
2,12,22,7,6
3,12,25,11,14
4,12,50,9,12
5,12,31,9,13
6,12,23,4,6
7,12,19,9,11
8,12,29,8,10
9,12,20,14,17
10,12,39,4,5
11,12,24,6,7
12,12,17,11,16
13,12,17,10,12
14,12,16,10,15
15,12,16,14,16
16,12,23,9,13
17,12,14,7,9
18,12,29,15,19
19,12,25,10,12
20,12,10,13,17
21,12,13,7,13
22,12,7,14,15
23,12,9,11,13
24,12,7,10,15
25,12,7,13,17
26,12,15,7,10
27,12,6,3,5
28,12,4,4,9
29,12,4,1,2
