cluster,n,N,cx,depth
0,14,105,8,11
1,14,57,5,5
2,14,85,6,8
3,14,45,8,9
4,14,40,27,26
5,14,43,11,7
6,14,38,16,10
7,14,48,3,5
8,14,27,14,18
9,14,30,24,21
10,14,23,33,30
11,14,20,22,26
12,14,20,11,8
13,14,18,16,20
14,14,18,11,20
15,14,16,8,11
16,14,14,6,8
17,14,9,12,20
18,14,5,3,4
19,14,3,6,10
20,14,1,0,2
